kind,wmape_3m,wmape_14d,wmape_all,bias_3m,low,summer_low,cap_spike,evening,applied,rolling,stat,beta,hours,gate,thr,group_by,delta_3m,delta_14d
group,6.31712169421116,11.099439885521607,6.376980864871213,-49.33454700788718,49.06545437301835,35.004190695254664,1.5651368012815654,2.939851355195704,799,8,median,0.1,all,absbias,100,"hour,source_bin,weekend",-0.011290548870089623,0.02482400449677158
group,6.317213188367256,11.099665025358115,6.377071211235441,-47.260543178073576,49.27682933331128,35.15207448236484,1.5505500562664434,2.9446944417686596,1039,8,mean,0.1,7-18,none,0,"hour,source_bin",-0.011199054713993739,0.025049144333280537
group,6.317379508414874,11.110859069063697,6.37723544480228,-48.28764573003524,48.88831616825022,34.66024262132423,1.573763113344436,2.9456842553028677,2088,2,mean,0.05,all,none,0,"hour,source_ratio_bin",-0.011032734666375887,0.03624318803886162
group,6.317379508414874,11.110859069063697,6.37723544480228,-48.28764573003524,48.88831616825022,34.66024262132423,1.573763113344436,2.9456842553028677,2088,2,median,0.05,all,none,0,"hour,source_ratio_bin",-0.011032734666375887,0.03624318803886162
group,6.317434307592443,11.064081617494793,6.377289556525557,-49.70985579837669,49.1375366442855,34.437432195656335,1.575384650832113,2.9402270024562256,435,8,median,0.1,all,absbias,250,"hour,source_ratio_bin",-0.010977935488806878,-0.010534263530042054
group,6.317501102149826,11.096554375233865,6.377355513146914,-47.183392015535055,48.82905544234642,34.79313791908627,1.5505500562664434,2.9446944417686596,1038,3,median,0.1,7-18,none,0,"hour,source_ratio_bin",-0.010911140931423091,0.021938494209029713
group,6.317595782192923,11.078520021240362,6.377449005431271,-48.39008074528061,48.703015854232994,34.427333966526426,1.5505500562664434,2.9446944417686596,289,3,median,0.1,10-16,wmape,20,"hour,source_bin,weekend",-0.010816460888326773,0.0039041402155266525
group,6.317623167354906,11.096176311730863,6.377476047047091,-47.10833058532935,49.49121003786676,34.87710531297253,1.5505500562664434,2.9446944417686596,289,3,median,0.2,10-16,wmape,20,"hour,source_bin,weekend",-0.010789075726343356,0.0215604307060282
group,6.317656984726104,11.078976070298099,6.377509440180224,-48.38901083822279,48.703015854232994,34.427333966526426,1.5505500562664434,2.9446944417686596,291,3,median,0.1,10-18,wmape,20,"hour,source_bin,weekend",-0.010755258355145791,0.00436018927326387
group,6.317707472822641,11.06659847042796,6.377559294904872,-49.48926787099437,48.849830190917295,34.45330648308856,1.562579778367139,2.939955347038752,2088,8,median,0.05,all,none,0,"hour,source_ratio_bin",-0.010704770258608498,-0.008017410596874441
group,6.317745572421268,11.097088409846332,6.377596916545,-47.10619077121369,49.49121003786676,34.87710531297253,1.5505500562664434,2.9446944417686596,291,3,median,0.2,10-18,wmape,20,"hour,source_bin,weekend",-0.010666670659981392,0.022472528821497306
group,6.317799487593087,11.09453525667076,6.377650155352358,-47.22943761646342,48.96514770398904,34.80883145269328,1.5505500562664434,2.9446944417686596,521,3,median,0.1,7-18,absbias,100,"hour,source_ratio_bin",-0.010612755488162762,0.01991937564592483
group,6.317860432030066,11.088530802608629,6.37771033524292,-47.30330119912888,49.27682933331128,35.15207448236484,1.5505500562664434,2.9446944417686596,778,8,mean,0.1,10-18,none,0,"hour,source_bin",-0.01055181105118308,0.013914921583793927
group,6.31813233987847,11.110965226453214,6.3779788320142625,-48.24524229703797,48.916568389758666,34.65035023890226,1.574119124617845,2.946792100024436,1235,2,mean,0.05,all,absbias,100,"hour,source_ratio_bin",-0.010279903202779828,0.036349345428378754
group,6.31813233987847,11.110965226453214,6.3779788320142625,-48.24524229703797,48.916568389758666,34.65035023890226,1.574119124617845,2.946792100024436,1235,2,median,0.05,all,absbias,100,"hour,source_ratio_bin",-0.010279903202779828,0.036349345428378754
group,6.318182003295424,11.088889230375514,6.3780278724049095,-47.9228055161639,48.99782487584919,34.81485953344308,1.5505500562664434,2.9446944417686596,368,2,mean,0.1,10-16,wmape,15,"hour,source_bin",-0.010230239785825823,0.014273349350679254
group,6.318182003295424,11.088889230375514,6.3780278724049095,-47.9228055161639,48.99782487584919,34.81485953344308,1.5505500562664434,2.9446944417686596,368,2,median,0.1,10-16,wmape,15,"hour,source_bin",-0.010230239785825823,0.014273349350679254
group,6.318245899368767,11.087468166997173,6.378090966903632,-49.50314573312256,48.88003846311027,34.7030267281765,1.556405429228577,2.939923582362403,2001,8,median,0.05,all,none,0,"hour,source_bin,weekend",-0.010166343712482373,0.012852285972337896
group,6.3182688656585455,11.067159685494355,6.37811364508189,-49.48284007565337,48.90309201506655,34.46816506239607,1.5624298976560522,2.939790432414498,895,8,median,0.05,all,absbias,100,"hour,source_ratio_bin",-0.010143377422703992,-0.007456195530480159
