wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
7.029582446078873,12.755973145093211,7.081588000201721,all,absdiff_le,750.0,-0.1,1018,-0.009331018021420334,-0.09634093891167339
7.029626998536194,12.849734841330744,7.0825737032101515,night,absdiff_le,100.0,0.7,118,-0.009286465564099622,-0.0025792426741411134
7.029749387568749,12.884616836640795,7.0826945568753965,all,absdiff_le,200.0,0.55,496,-0.009164076531543941,0.03230275263591054
7.029810647053197,12.83460152090276,7.082755047861168,night,reldiff_le,0.01,1.0,125,-0.009102817047096146,-0.017712563102124435
7.0299639872831925,12.844554728157426,7.082906464441864,night,absdiff_le,150.0,0.4,141,-0.008949476817100788,-0.007759355847458238
7.029980117222524,12.940310759571824,7.07617598268526,night,absdiff_ge,5000.0,-0.1,26,-0.008933346877769033,0.08799667556693969
7.0300272711993586,12.879733783529804,7.08296895446291,midday,profile_abs_le,1500.0,0.05,324,-0.00888619290093473,0.02741969952491985
7.030170211740186,12.833588629989052,7.083110101818278,midday,profile_abs_le,1000.0,0.05,204,-0.008743252360106979,-0.01872545401583281
7.0303698444989795,12.858077536978453,7.083307230189176,all,absdiff_le,150.0,0.2,439,-0.008543619601313779,0.005763452973567951
7.030424050253911,12.867123015372558,7.083360755934286,night,absdiff_le,300.0,0.4,211,-0.008489413846382021,0.01480893136767314
7.0304575807497045,12.872676364635439,7.083393865790859,night,absdiff_le,300.0,0.55,211,-0.008455883350588778,0.020362280630553897
7.03045871802797,12.86746891475127,7.083394988801999,all,reldiff_le,0.01,0.4,399,-0.008454746072323438,0.015154830746386239
7.030482594242055,12.846509854477283,7.083418565489584,all,absdiff_le,50.0,0.55,277,-0.008430869858238488,-0.005804229527601734
7.030519335206301,12.80997626481986,7.083483447876119,peakerr,reldiff_le,0.03,-0.1,409,-0.00839412889399238,-0.04233781918502544
7.03054611527798,12.84256573251939,7.083481289655727,all,ratio_le,0.02,0.4,283,-0.008367348822313048,-0.009748351485495022
7.030661198612122,12.796777525685377,7.083594929272359,midday,profile_abs_le,1000.0,0.15,204,-0.008252265488171595,-0.05553655831950799
7.0307953259133456,12.866436972171357,7.08372737394999,all,absdiff_le,200.0,0.3,496,-0.008118138186947732,0.014122888166472336
7.030868395756464,12.837716367566069,7.084150506084265,midday,ratio_le,0.5,0.1,182,-0.008045068343829342,-0.014597716438816022
7.03093423921064,12.787001528674688,7.08298709720728,midday,reldiff_le,0.05,-0.25,266,-0.007979224889653302,-0.06531255533019653
7.030955459246297,12.809515349163576,7.083885498414341,peakerr,profile_abs_le,500.0,-0.1,78,-0.00795800485399667,-0.04279873484130903
7.030982626013374,12.86580698390545,7.083912324375015,midday,absdiff_le,100.0,1.0,132,-0.007930838086918968,0.013492899900565902
7.031150236746423,12.896616169148695,7.08407783243567,all,absdiff_le,200.0,0.7,496,-0.007763227353870583,0.04430208514381029
7.0311813992348,12.772875201560138,7.084180109833301,day,reldiff_le,0.03,-0.25,275,-0.007732064865493271,-0.07943888244474628
7.031214496244127,12.838735211271835,7.0841412857996024,night,reldiff_le,0.01,0.7,125,-0.0076989678561663055,-0.013578872733049252
7.031275211505031,12.787751566898528,7.084201239389102,all,profile_abs_le,500.0,-0.1,144,-0.007638252595262074,-0.06456251710635641
7.0313013824244095,12.843301271569093,7.08422708199496,night,ratio_le,0.02,0.55,126,-0.007612081675883786,-0.009012812435791773
7.031325976879104,12.806664958968602,7.083900388962358,peakerr,reldiff_le,0.05,-0.1,500,-0.007587487221189626,-0.04564912503628271
7.031327455335261,12.838654521811701,7.084252827821806,peakerr,profile_abs_le,750.0,0.05,234,-0.007586008765032126,-0.013659562193183206
7.031364180200087,12.849278499146537,7.084289091974133,night,ratio_le,0.05,0.2,198,-0.007549283900206483,-0.0030355848583472067
7.031374209951986,12.863420782530637,7.08429899590305,night,absdiff_le,300.0,0.3,211,-0.007539254148307251,0.011106698525752634
7.031405030774652,12.850287536189487,7.0843294300792765,night,absdiff_le,100.0,0.55,118,-0.007508433325641661,-0.0020265478153973504
7.031435006814668,12.852034100495812,7.0843590300706305,peakerr,absdiff_le,100.0,0.4,221,-0.00747845728562524,-0.0002799835090723235
7.031476707344055,12.849324355436037,7.084400207467933,night,absdiff_le,200.0,0.3,168,-0.0074367567562383385,-0.002989728568847383
7.031520265246746,12.75916031152812,7.083565771561629,peakerr,reldiff_le,0.05,-0.25,500,-0.007393198853547389,-0.09315377247676437
7.031574688688917,12.852403526592418,7.084496959639313,all,absdiff_le,100.0,0.2,371,-0.007338775411375842,8.944258753373902e-05
7.031625640629327,12.739658360699174,7.0836698250127075,peakerr,absdiff_le,500.0,-0.25,455,-0.007287823470965904,-0.11265572330571061
7.031828692376883,12.863457226828237,7.084747776857454,day,absdiff_le,100.0,0.7,150,-0.007084771723410377,0.011143142823351937
7.0318586141406545,12.804629276573957,7.082686026835304,night,reldiff_le,0.08,-0.1,443,-0.007054849959638787,-0.047684807430927734
7.03186768770368,12.84693453090919,7.084786282988867,all,ratio_le,0.01,1.0,209,-0.007045776396613412,-0.005379553095695044
7.031966353169541,12.878229713898317,7.084883710698962,night,absdiff_le,300.0,0.7,211,-0.006947110930751954,0.02591562989343288
7.032000146222117,12.84649456711929,7.084917079818548,night,absdiff_le,150.0,0.3,141,-0.006913317878176173,-0.005819516885594567
7.032054514987494,12.881518300525174,7.084970766529144,peakerr,absdiff_le,150.0,0.7,264,-0.006858949112799273,0.029204216520289705
7.032081538727303,12.86277322586486,7.084997451256822,all,reldiff_le,0.01,0.3,399,-0.00683192537299071,0.010459141859975318
7.032102512960316,12.794355880984535,7.085089668210495,midday,reldiff_le,0.03,-0.25,225,-0.006810951139977206,-0.05795820302035004
